question,type,lemma,basiswoord1,basiswoord2
,userdetails,,,
"Uit welke twee woorden is het volgende woord opgebouwd?",task,aanmodderfakker,aanmodderen,motherfucker
"Uit welke twee woorden is het volgende woord opgebouwd?",task,adware,advertising,software
"Uit welke twee woorden is het volgende woord opgebouwd?",task,agflatie,agricultuur,inflatie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,alcomobilist,alcohol,automobilist
"Uit welke twee woorden is het volgende woord opgebouwd?",task,apparterra,appartement,terra
"Uit welke twee woorden is het volgende woord opgebouwd?",task,autistiform,autistisch,conform
"Uit welke twee woorden is het volgende woord opgebouwd?",task,boerkini,boerka,bikini
"Uit welke twee woorden is het volgende woord opgebouwd?",task,brambulance,brandweer,ambulance
"Uit welke twee woorden is het volgende woord opgebouwd?",task,bromance,brother,romance
"Uit welke twee woorden is het volgende woord opgebouwd?",task,bromance,brother,romance
"Uit welke twee woorden is het volgende woord opgebouwd?",task,cockerpoe,cockerspaniël,poedel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,cronut,croissant,donut
"Uit welke twee woorden is het volgende woord opgebouwd?",task,DigiD,digitale,identiteit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,drentenier,Drenthe,rentenier
"Uit welke twee woorden is het volgende woord opgebouwd?",task,emoticon,emotion,icon
"Uit welke twee woorden is het volgende woord opgebouwd?",task,fembot,female,robot
"Uit welke twee woorden is het volgende woord opgebouwd?",task,festivaluta,festival,valuta
"Uit welke twee woorden is het volgende woord opgebouwd?",task,flexitariër,flexibel,vegetariër
"Uit welke twee woorden is het volgende woord opgebouwd?",task,glamperen,glamour/glamorous,kamperen
"Uit welke twee woorden is het volgende woord opgebouwd?",task,glamping,glamour/glamorous,camping
"Uit welke twee woorden is het volgende woord opgebouwd?",task,grachtengordeldier,grachtengordel,gordeldier
"Uit welke twee woorden is het volgende woord opgebouwd?",task,grexit,Greece/Greek,exit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,groufie,group,selfie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,himbo,him,bimbo
"Uit welke twee woorden is het volgende woord opgebouwd?",task,infobesitas,informatie,obesitas
"Uit welke twee woorden is het volgende woord opgebouwd?",task,infotainment,informatie/informatief,entertainment
"Uit welke twee woorden is het volgende woord opgebouwd?",task,jegging,jeans,legging
"Uit welke twee woorden is het volgende woord opgebouwd?",task,keytar,keyboard,gitaar
"Uit welke twee woorden is het volgende woord opgebouwd?",task,laagflatie,laag,inflatie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,labradoedel,labrador,poedel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,lijger,leeuw,tijger
"Uit welke twee woorden is het volgende woord opgebouwd?",task,manny,man/male,nanny
"Uit welke twee woorden is het volgende woord opgebouwd?",task,medicomaat,medicijn/medicijnen,automaat
"Uit welke twee woorden is het volgende woord opgebouwd?",task,megging,man,legging
"Uit welke twee woorden is het volgende woord opgebouwd?",task,mipster,moslim/moslima,hipster
"Uit welke twee woorden is het volgende woord opgebouwd?",task,mobisode,mobiele,episode
"Uit welke twee woorden is het volgende woord opgebouwd?",task,movel,mobile,novel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,mup,millenial,yup
"Uit welke twee woorden is het volgende woord opgebouwd?",task,narcomobilist,narcotica,automobilist
"Uit welke twee woorden is het volgende woord opgebouwd?",task,originees,origineel,Chinees
"Uit welke twee woorden is het volgende woord opgebouwd?",task,pafdak,paffen,afdak
"Uit welke twee woorden is het volgende woord opgebouwd?",task,pastafari,pasta,rastafari
"Uit welke twee woorden is het volgende woord opgebouwd?",task,pastafarian,pasta,rastafarian
"Uit welke twee woorden is het volgende woord opgebouwd?",task,pastafarianisme,pasta,rastafarianisme
"Uit welke twee woorden is het volgende woord opgebouwd?",task,pekipoe,pekinees,poedel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,plastiglomeraat,plastic,conglomeraat
"Uit welke twee woorden is het volgende woord opgebouwd?",task,podcast,iPod,broadcast
"Uit welke twee woorden is het volgende woord opgebouwd?",task,podcasting,iPod,broadcasting
"Uit welke twee woorden is het volgende woord opgebouwd?",task,poldermodderen,polderen,aanmodderen/doormodderen
"Uit welke twee woorden is het volgende woord opgebouwd?",task,potel,Pool/Polen,hotel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,preferendum,prefereren,referendum
"Uit welke twee woorden is het volgende woord opgebouwd?",task,prexit,"Puerto Rico",exit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,prosument,producent,consument
"Uit welke twee woorden is het volgende woord opgebouwd?",task,quotilde,quotum,Matilde
"Uit welke twee woorden is het volgende woord opgebouwd?",task,recessionista,recessie,fashionista
"Uit welke twee woorden is het volgende woord opgebouwd?",task,scootmobilist,scootmobiel,automobilist
"Uit welke twee woorden is het volgende woord opgebouwd?",task,sexercisen,sex,exercise
"Uit welke twee woorden is het volgende woord opgebouwd?",task,sexting,sex/sexy,texting
"Uit welke twee woorden is het volgende woord opgebouwd?",task,shelfie,shelf,selfie
