,type,id,woord,lemma,freq,neo,anw,niet_neo,twijfel,knop,comment,woord_orig,lemma_orig,woordsoort,minidefinitie,datum,opn,concordanties
0,userdetails,,,,,,,,,,,,,,,,,
1,task,2081.0,afradertje,afradertje,1.0,f,f,t,f,,,afradertje,afradertje,-,,2015 03,f,"Syrische revolutie een ramp zou worden en een sektarische burgeroorlog zou genereren. Een afradertje voor elke revolutionair die er ook maar van droomt iets aan het status-quo te veranderen. 
"
2,task,35423.0,dieetopenbaring,dieetopenbaring,1.0,f,f,t,f,,,dieetopenbaring,dieetopenbaring,-,,2016 01,f,"met de producten uit uw eigen supermarkt. Dus zolang u maar niet rekent op een dieetopenbaring, is dit boek een behulpzame herinnering aan de eenvoudige mogelijkheden die er zijn om 
"
3,task,154624.0,moeilijkheidsparadox,moeilijkheidsparadox,2.0,f,f,t,f,,,moeilijkheidsparadox,moeilijkheidsparadox,-,,2018 05,f," deze schijnbaar masochistische exercitie houd? Aan de kern van alle games ligt een moeilijkheidsparadox ten grondslag, schreef gamewetenschapper Jesper Juul in zijn essay The Art of Failure (2013): 
"
4,task,30163.0,tijdstrends,tijdstrends,1.0,f,f,t,f,,,tijdstrends,tijdstrends,-,,2015 01,f,"sinds 2002 meetcampagnes organiseert naar de blootstelling van inwoners aan vervuilende stoffen, kunnen nu ook tijdstrends in Vlaanderen worden bekeken. Het onderzoek maakt bovendien deel uit van een grootschalige meetcampagne (' 
"
5,task,152401.0,zonnepriesteres,zonnepriesteres,1.0,f,f,t,f,,,zonnepriesteres,zonnepriesteres,-,,2018 04,f,"tin, barnsteen? Trouwde ze als 'Duitse' met een 'Deen'? Was ze een zonnepriesteres, een danseres? Waarom werd ze met zoveel egards begraven in haar eik? Ze 
"
6,task,154038.0,insectenafname,insectenafname,4.0,f,f,t,f,,,insectenafname,insectenafname,-,,2018 05,f," Zij wilde, naar aanleiding van de Duitse studie, weten hoe het met de insectenafname in Nederland is gesteld. In dat rapport adviseren onderzoekers een groot meetnetwerk op te zetten 
"
7,task,4076.0,belevenisstad,belevenisstad,1.0,t,f,f,f,,,belevenisstad,belevenisstad,-,,2015 09,f,"ons niet alleen op de rest van België en Nederland te richten. Antwerpen heeft troeven als belevenisstad. Naar Antwerpen komen is plezierig.' Voor Volckeryck is het belangrijk dat niet alleen de 
"
8,task,147291.0,seniorenmodebranche,seniorenmodebranche,2.0,f,f,t,f,,,seniorenmodebranche,seniorenmodebranche,-,,2018 03,f,"serviceflats en verpleeghuizen te reizen en modeshows te organiseren. Net als zijn 'collega-concurrenten' in de seniorenmodebranche. Ouderen die niet meer zelfstandig wonen, komen vaak niet meer in reguliere winkels, 
"
9,task,37387.0,vluchtelingenpraktijk,vluchtelingenpraktijk,1.0,f,f,t,f,,,vluchtelingenpraktijk,vluchtelingenpraktijk,-,,2016 01,f,"eigen dokterspraktijk in Mook. Omdat hij van afwisseling houdt, van de hectiek in de vluchtelingenpraktijk, en geïnteresseerd is in andere culturen en ziektebeelden. Fisscher draait ook mee in het 
"
10,task,16260.0,korttheater,korttheater,1.0,f,f,t,f,,,korttheater,korttheater,-,,2015 07,f," Zichzelf opvoeren blijkt ook in twee op drie andere voorstellingen de evidente uitkomst van korttheater. Twintig minuten blijken te veel om snel iets ineen te flansen, maar ook te weinig om 
"
11,task,8505.0,dreigingsmonitor,dreigingsmonitor,1.0,t,t,f,f,,,dreigingsmonitor,dreigingsmonitor,-,,2015 12,f,". Dat schreef de Nationaal Coördinator Terrorismebestrijding en Veiligheid (NCTV) in november in zijn dreigingsmonitor. Toch was van ' structurele gewelddadigheden tegen azc's ' volgens de NCTV nog geen sprake. En 
"
12,task,17275.0,lighttaks,lighttaks,2.0,t,t,f,f,,,lighttaks,lighttaks,-,,2015 10,f,", ja. Deze taks is maar een begin, zei Maggie De Block gisteren. Een lighttaks, zeg maar. Beste mevrouw de minister, laten we het een beginnetje noemen, 
"
13,task,137466.0,multimediamerk,multimediamerk,2.0,f,f,t,f,,,multimediamerk,multimediamerk,-,,2018 01,f,"Paul de Leeuw en Ivo Niehe nam ze de YouTubers van onlinenetwerk Mediakraft, het 'multimediamerk' & C van presentator Chantal Janzen en de nieuwe activiteiten van Dieuwke Wynia en Boudewijn Vos 
"
14,task,11393.0,gendertransformatie,gendertransformatie,1.0,t,t,f,f,,,gendertransformatie,gendertransformatie,-,,2015 06,f,"San Francisco. Daar helpen medici kinderen die in het verkeerde lichaam zijn geboren bij gendertransformatie. Maar de snelle behandeling is onomkeerbaar. 
"
15,task,19758.0,nachtnanny,nachtnanny,1.0,t,t,f,f,,,nachtnanny,nachtnanny,-,,2015 07,f,"verblijf in Europa als referentie. In januari 2012 kon ze opnieuw aan de slag als 'nachtnanny' bij een gezin in Park City dat eveneens een tweeling had gekregen. Na enkele dagen 
"
