question,type,lemma,basiswoord1,basiswoord2
,userdetails,,,
"Uit welke twee woorden is het volgende woord opgebouwd?",task,straatsen,straat,schaatsen
"Uit welke twee woorden is het volgende woord opgebouwd?",task,alcomobilist,alcohol,automobilist
"Uit welke twee woorden is het volgende woord opgebouwd?",task,smombie,smartphone,zombie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,vook,video,e-book
"Uit welke twee woorden is het volgende woord opgebouwd?",task,velostrade,velo,autostrade
"Uit welke twee woorden is het volgende woord opgebouwd?",task,taugate,taugé,gate
"Uit welke twee woorden is het volgende woord opgebouwd?",task,poldermodderen,polderen,aanmodderen/doormodderen
"Uit welke twee woorden is het volgende woord opgebouwd?",task,mobisode,mobiele,episode
"Uit welke twee woorden is het volgende woord opgebouwd?",task,flexitariër,flexibel,vegetariër
"Uit welke twee woorden is het volgende woord opgebouwd?",task,bromance,brother,romance
"Uit welke twee woorden is het volgende woord opgebouwd?",task,infobesitas,informatie,obesitas
"Uit welke twee woorden is het volgende woord opgebouwd?",task,shelfie,shelf,selfie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zony,zebra,pony
"Uit welke twee woorden is het volgende woord opgebouwd?",task,recessionista,recessie,fashionista
"Uit welke twee woorden is het volgende woord opgebouwd?",task,festivaluta,festival,valuta
"Uit welke twee woorden is het volgende woord opgebouwd?",task,apparterra,appartement,terra
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twexit,Twitter/tweet,exit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,agflatie,agricultuur,inflatie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,DigiD,digitale,identiteit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twitteratuur,twitteren/Twitter,literatuur
